94, 67 720 700 670 740 7500 7400 7000 7200;
95, 70 700 670 750 740 700 720 740 7400;
96, 70 820 790 770 700 7700 7500;
97, 74 75 77 700 720 740 7400;
98, 70 820 790 770 700 7700 7500;
99, 74 75 77 700 720 740 7400;
100, 70 820 790 770 700 7700 7500;
101, 74 75 77 700 720 740 7400;
102, 70 820 790 770 700 7700 7500;
103, 74 75 77 700 720 700 670 740 7500 7400 7000 7200;
104, 70 67 720 700 670 680 690 7000 6700 7200;
105, 70 67 740 720 7400 7200 6900 6500;
106, 67 720 700 670 730 700 7200 7000;
107, 670 700 670 740 7500 7400;
108, 67 720 700 7000;
109, 67 740 750 740 700 720 670 700 670 6500;
110, 74 75 77 700 720 740 7400;
111, 70 820 790 770 700 7700 7500;
112, 74 75 77 700 720 700 670 7500 7400;
113, 67 740 750 740 700 720 700 670 730 700 7200;
114, 70 67 720 700 670 750 740 700 720 700 7000;
115, 67 740 750 740 700 720 700 670 750 740 700 720 700 670 750 740 720 700 670 680 690 7000 6700 7200;
116, 67 740 750 740 700 720 740 7400;
117, 70 820 790 770 700 7700 7500;
118, 74 75 77 700 720 670 700 7500 7200;
119, 74 75 77 700 720 700 670 740 7500 7400;
120, 67 740 750 740 700 720 700 670 730 700 7200;
121, 67 720 700 670 680 690 7000 6700 7200;
122, 67 740 750 740 700 720 700 670 6500;
123, 67 740 720 700 670 730 700 7200 7000;
124, 70 700 670 750 740 720 7400 7200 6900 6500;
125, 67 70 67 740 720 700 7000;
126, 67 740 720 7400 7200 6900 6500;
127, 67 740 720 700 7000;
128, 67 70 700 670 730 700 7200 7000;
129, 74 75 77 700 720 740 7400;
130, 70 820 790 770 700 7700 7500;
131, 74 75 77 700 720 740 7400;
132, 70 820 790 770 700 7700 7500;
133, 74 75 77 700 720 670 700 670 6500;
134, 67 720 700 7000;
135, 67 720 700 670 740 7500 7400 7000 7200;
136, 70 700 670 680 690 7000 6700 7200;
137, 67 740 750 740 720 7400 7200 6900 6500;
138, 67 740 750 740 700 720 740 7400;
139, 70 820 790 770 700 7700 7500;
140, 74 75 77 700 720 740 7400;
141, 70 820 790 770 700 7700 7500;
142, 74 75 77 700 720 670 700 670 680 690 7000 6700 7200;
143, 70 700 670 680 690 7000 6700 7200;
144, 67 740 720 700 670 7500 7400;
145, 67 740 750 740 720 700 670 730 700 7200 7000;
146, 74 75 77 700 720 700 670 7500 7400;
147, 67 740 750 740 720 700 670 680 690 7000 6700 7200;
148, 67 740 720 700 7000;
149, 67 740 720 700 670 730 700 7200;
150, 67 70 700 670 750 740 720 700 670 680 690 7000 6700 7200;
